NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
  25 GTMIN   216.80 10 2017 12 2017                                                                                                                                                                     
  25 GTMIN   170.55  1 2018  1 2018                                                                                                                                                                     
  25 GTMIN    80.00  2 2018  3 2018                                                                                                                                                                     
  25 GTMIN   170.55  4 2018  1 2019                                                                                                                                                                     
  25 GTMIN   170.55  4 2019  1 2020                                                                                                                                                                     
  25 GTMIN   170.55  4 2020  1 2021                                                                                                                                                                     
  25 GTMIN   170.55  4 2021                                                                                                                                                                             
  24 POTEF   363.00 10 2017          J.LACERDA C                                                                                                                                                        
  24 FCMAX    92.29 10 2017                                                                                                                                                                             
  24 GTMIN   306.96 10 2017 12 2017                                                                                                                                                                     
  24 GTMIN   247.50  1 2018  1 2018                                                                                                                                                                     
  24 GTMIN   247.50  4 2018  1 2019                                                                                                                                                                     
  24 GTMIN   247.50  4 2019  1 2020                                                                                                                                                                     
  24 GTMIN   247.50  4 2020  1 2021                                                                                                                                                                     
  24 GTMIN   247.50  4 2021                                                                                                                                                                             
 107 POTEF   345.00 10 2017          PAMPA SUL                                                                                                                                                          
 107 FCMAX    93.55 10 2017 10 2017                                                                                                                                                                     
 107 GTMIN   170.00 10 2017                                                                                                                                                                             
 107 FCMAX   100.00 11 2017                                                                                                                                                                             
  35 POTEF   639.90 10 2017          URUGUAIANA                                                                                                                                                         
  35 FCMAX     0.00 10 2017                                                                                                                                                                             
 109 POTEF    13.12 10 2017          ALTOS                                                                                                                                                              
 109 FCMAX     0.00 10 2017                                                                                                                                                                             
 111 POTEF    11.48 10 2017          ARACATI                                                                                                                                                            
 111 FCMAX     0.00 10 2017                                                                                                                                                                             
 112 POTEF    30.97 10 2017          BAHIA I                                                                                                                                                            
 113 POTEF    11.48 10 2017          BATURITE                                                                                                                                                           
 113 FCMAX     0.00 10 2017                                                                                                                                                                             
 235 POTEF   144.00 11 2018          CAMACARI MII                                                                                                                                                       
  52 POTEF   169.08 10 2017          CAMPINA GDE                                                                                                                                                        
 117 POTEF    13.12 10 2017          CAMPO MAIOR                                                                                                                                                        
 117 FCMAX     0.00 10 2017                                                                                                                                                                             
 119 POTEF    14.76 10 2017          CAUCAIA                                                                                                                                                            
 119 FCMAX     0.00 10 2017                                                                                                                                                                             
 121 POTEF    13.12 10 2017          CRATO                                                                                                                                                              
 121 FCMAX     0.00 10 2017                                                                                                                                                                             
 125 POTEF    14.76 10 2017          ENGUIA PECEM                                                                                                                                                       
 125 FCMAX     0.00 10 2017                                                                                                                                                                             
  42 POTEF   326.60 10 2017          FORTALEZA                                                                                                                                                          
  42 GTMIN   223.00  1 2018                                                                                                                                                                             
  53 POTEF   148.80 10 2017          GLOBAL I                                                                                                                                                           
  53 IPTER     0.00  1 2018  6 2018                                                                                                                                                                     
  53 IPTER    15.05  7 2018  7 2018                                                                                                                                                                     
  53 IPTER     0.00  8 2018  8 2018                                                                                                                                                                     
  53 IPTER     2.33  9 2018  9 2018                                                                                                                                                                     
  53 IPTER     2.90 10 2018 10 2018                                                                                                                                                                     
  53 IPTER     3.00 11 2018 11 2018                                                                                                                                                                     
  53 IPTER     2.90 12 2018 12 2018                                                                                                                                                                     
  53 IPTER    30.11  1 2019  1 2019                                                                                                                                                                     
  53 IPTER     0.00  2 2019  5 2019                                                                                                                                                                     
  53 IPTER    10.00  6 2019  6 2019                                                                                                                                                                     
  53 IPTER     9.68  7 2019  7 2019                                                                                                                                                                     
  53 IPTER     0.00  8 2019  9 2019                                                                                                                                                                     
  53 IPTER     2.26 10 2019 10 2019                                                                                                                                                                     
  53 IPTER    15.56 11 2019 11 2019                                                                                                                                                                     
  53 IPTER     0.00 12 2019  1 2020                                                                                                                                                                     
  53 IPTER     5.00  2 2020  2 2020                                                                                                                                                                     
  53 IPTER     0.00  3 2020  8 2020                                                                                                                                                                     
  53 IPTER     2.33  9 2020  9 2020                                                                                                                                                                     
  53 IPTER     2.26 10 2020 10 2020                                                                                                                                                                     
  53 IPTER    15.56 11 2020 11 2020                                                                                                                                                                     
  53 IPTER    34.41 12 2020 12 2020                                                                                                                                                                     
  53 IPTER     2.26  1 2021  1 2021                                                                                                                                                                     
  53 IPTER     4.83  2 2021  2 2021                                                                                                                                                                     
  53 IPTER     0.00  3 2021  3 2021                                                                                                                                                                     
  53 IPTER    17.89  4 2021  4 2021                                                                                                                                                                     
  53 IPTER     0.00  5 2021  8 2021                                                                                                                                                                     
  53 IPTER     3.00  9 2021  9 2021                                                                                                                                                                     
  53 IPTER     2.26 10 2021 10 2021                                                                                                                                                                     
  53 IPTER    20.22 11 2021 11 2021                                                                                                                                                                     
  53 IPTER    19.57 12 2021                                                                                                                                                                             
  55 POTEF   148.80 10 2017          GLOBAL II                                                                                                                                                          
  55 IPTER     0.00  1 2018  7 2018                                                                                                                                                                     
  55 IPTER    34.41  8 2018  8 2018                                                                                                                                                                     
  55 IPTER     0.00  9 2018  4 2019                                                                                                                                                                     
  55 IPTER     5.16  5 2019  5 2019                                                                                                                                                                     
  55 IPTER     5.33  6 2019  6 2019                                                                                                                                                                     
  55 IPTER     0.00  7 2019  9 2019                                                                                                                                                                     
  55 IPTER     2.26 10 2019 10 2019                                                                                                                                                                     
  55 IPTER     4.67 11 2019 11 2019                                                                                                                                                                     
  55 IPTER    15.05 12 2019  1 2020                                                                                                                                                                     
  55 IPTER     2.50  2 2020  2 2020                                                                                                                                                                     
  55 IPTER     0.00  3 2020  9 2020                                                                                                                                                                     
  55 IPTER     4.52 10 2020 10 2020                                                                                                                                                                     
  55 IPTER    15.56 11 2020 11 2020                                                                                                                                                                     
  55 IPTER     0.00 12 2020 12 2020                                                                                                                                                                     
  55 IPTER     5.16  1 2021  1 2021                                                                                                                                                                     
  55 IPTER     0.00  2 2021  4 2021                                                                                                                                                                     
  55 IPTER     9.68  5 2021  5 2021                                                                                                                                                                     
  55 IPTER    10.00  6 2021  6 2021                                                                                                                                                                     
  55 IPTER     0.00  7 2021  7 2021                                                                                                                                                                     
  55 IPTER     2.26  8 2021  8 2021                                                                                                                                                                     
  55 IPTER     0.00  9 2021  9 2021                                                                                                                                                                     
  55 IPTER     4.52 10 2021 10 2021                                                                                                                                                                     
  55 IPTER    33.44 11 2021 11 2021                                                                                                                                                                     
  55 IPTER    36.67 12 2021                                                                                                                                                                             
 127 POTEF    14.76 10 2017          IGUATU                                                                                                                                                             
 127 FCMAX     0.00 10 2017                                                                                                                                                                             
